City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Phek,IN,71.29,light rain,25.7,94.46,General Administration Guest House
28,Mbanza-Ngungu,CD,73.92,light rain,-5.25,14.87,Hotel Full Business
37,Buala,SB,79.88,light rain,-8.15,159.59,Maringe Lagoon Lodge
46,Faanui,PF,79.09,moderate rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
61,Colwyn Bay,GB,48.2,light rain,53.29,-3.71,Bryn Woodlands House
86,Katobu,ID,86.85,light rain,-4.94,122.53,La Ode Gombe
88,Tuatapere,NZ,66.0,light rain,-46.13,167.69,Tom Cruse Refreshment Company
90,Xichang,CN,51.08,light rain,27.88,102.25,Xichang ibis Hotel
91,Hobyo,SO,88.68,light rain,5.35,48.53,
112,Goderich,CA,48.0,light rain,43.74,-81.71,Harmony Inn
116,Bandarbeyla,SO,82.04,light rain,9.49,50.81,REER XOOSHLE GROUP
181,Samarai,PG,74.68,light rain,-10.62,150.67,Nuli Sapi
185,Dzilam Gonzalez,MX,81.0,light rain,21.28,-88.93,Amina
192,Keti Bandar,PK,89.24,light rain,24.14,67.45,Haji laloo memon house
193,Atambua,ID,79.05,light rain,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
215,Cockburn Town,TC,81.01,light rain,21.46,-71.14,Osprey Beach Hotel
216,Zemio,CF,81.73,light rain,5.02,25.13,
245,Banda Aceh,ID,85.86,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
252,Laguna,BZ,73.4,light rain,16.17,-88.94,Laguna Maya Lodge
262,Constitucion,MX,55.99,light rain,23.99,-104.67,Hotel Posada San Agustin
264,Banjar,ID,78.98,light rain,-7.37,108.54,OYO 2488 Villa Tirta Melati Syariah
273,San Ignacio,PE,62.22,moderate rain,-5.15,-79.0,Gran Hotel San Ignacio
277,Luba,PH,77.22,moderate rain,17.32,120.7,
282,Port Blair,IN,80.71,light rain,11.67,92.75,Hotel Sentinel
286,Itarema,BR,78.42,light rain,-2.92,-39.92,Windvillage
299,Airai,TL,72.07,light rain,-8.93,125.41,Juvinal Martin
306,Padang,ID,75.31,light rain,-0.92,100.36,Mercure Padang
311,Coolum Beach,AU,75.0,moderate rain,-26.53,153.09,Coolum Beach Resort
315,Angoche,MZ,89.04,light rain,-16.23,39.91,Guest House HESADA
323,Sinnamary,GF,81.99,light rain,5.38,-52.96,ALETHEIA Appartement Sinnamary
338,Rosarito,CO,64.36,moderate rain,4.91,-75.23,Hostal Restaurante Horizol
344,Dingle,PH,80.08,light rain,11.0,122.67,Camp Pasica
348,Kieta,PG,80.83,moderate rain,-6.22,155.63,
370,Fantanele,RO,63.0,light rain,46.12,21.4,WEST
372,Gangtok,IN,56.23,light rain,27.33,88.61,"MAYFAIR Spa Resort & Casino, Gangtok"
373,Saldanha,PT,54.09,light rain,41.42,-6.55,
379,Trairi,BR,75.49,light rain,-3.28,-39.27,Pousada Field Lilies - Trairi
391,Pathein,MM,85.77,light rain,16.78,94.73,Pathein Hotel
408,Leeton,AU,69.8,light rain,-34.55,146.4,Historic Hydro Motor Inn
412,Castlemaine,AU,55.99,light rain,-37.07,144.22,Fig Cafe & Accommodation
434,Huambo,AO,72.52,light rain,-12.78,15.73,SiSHotel
454,Khandbari,NP,51.33,light rain,27.38,87.21,Laxmi Hotel And Khajaghar
457,Te Anau,NZ,51.15,light rain,-45.41,167.72,Kingsgate Hotel Te Anau
460,Nicolas Bravo,MX,55.99,light rain,24.39,-104.74,
464,Freeport,BS,78.66,light rain,26.54,-78.7,Castaways Resort & Suites
465,Omboue,GA,73.33,moderate rain,-1.57,9.26,Hotel Olako
466,Richards Bay,ZA,71.33,light rain,-28.77,32.06,BON Hotel Waterfront Richards Bay
475,Tuy Hoa,VN,78.21,moderate rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
484,Valentin Gomez Farias,MX,55.99,light rain,24.05,-104.7,Hotel Posada San Agustin
485,Port Shepstone,ZA,67.84,light rain,-30.74,30.45,My Den Beachfront B&B And Self-Catering
487,Cesis,LV,48.99,light rain,57.31,25.27,KatrÄ«na
490,Indiaroba,BR,75.56,light rain,-11.53,-37.51,Hotel Pousada Marivan
492,Moyale,ET,77.72,light rain,3.52,39.05,Machi Guesthouse
500,Namatanai,PG,82.27,moderate rain,-3.66,152.44,Namatanai Hotel
514,Coruripe,BR,77.94,light rain,-10.12,-36.18,Pousada e Hotel Litoral Sul
536,Llandrindod Wells,GB,46.99,light rain,52.24,-3.38,Metropole Hotel and Spa
